name;latitude;longitude
Balan Mairie;49.689629;4.959769
CMZ - Campus;49.739365;4.722574
CMZ - Gare SNCF;49.768415;4.724588
CMZ - Hôpital Manchester;49.763257;4.696632
CMZ - Lycée Bazin;49.772197;4.70745
CMZ - Lycée Chanzy;49.772879;4.73003
CMZ - Lycée Charles de Gonzague;49.748141;4.714099
CMZ - Nevers;49.775025;4.719151
CMZ - Préfecture;49.760651;4.720122
CMZ - St Julien;49.76156;4.710807
Dom-le-Mesnil Pont-à-Bar;49.690658;4.838965
Glaire Mairie;49.71168;4.91348
Lumes Mairie;49.735406;4.783628
Montcy-Notre-Dame Mairie;49.773881;4.743587
Prix-Lès-Mézières;49.753853;4.697875
Sedan - Château;49.70118;4.94835
Sedan - Gare SNCF;49.695062;4.930776
Sedan - Le Lac Centre Social;49.69505;4.94438
Sedan - Mairie;49.70322;4.94332
Sedan - Torcy MJC;49.69626;4.91591
Villers-Semeuse Mairie;49.742088;4.746289
Wadelincourt Mairie;49.6853;4.94107
Warcq Bellevue du Nord;49.779128;4.694074
